revenue_category,year,power_code_code,value,mean_value
Total tax and non-tax revenue,2004,600000,0.2434229811245086,0.6250242900626016
Total tax and non-tax revenue,2005,600000,0.2652217808978847,0.6250242900626016
Total tax and non-tax revenue,2006,600000,0.3605720903555325,0.6250242900626016
Total tax and non-tax revenue,2007,600000,0.38217066900558,0.6250242900626016
Total tax and non-tax revenue,2008,600000,0.4573925549145434,0.6250242900626016
Total tax and non-tax revenue,2009,600000,0.4891784083220779,0.6250242900626016
Total tax and non-tax revenue,2010,600000,0.4734084945961798,0.6250242900626016
Total tax and non-tax revenue,2011,600000,0.49208986548080813,0.6250242900626016
Total tax and non-tax revenue,2012,600000,0.6693110623170743,0.6250242900626016
Total tax and non-tax revenue,2013,600000,0.6979693357649231,0.6250242900626016
Total tax and non-tax revenue,2014,600000,0.761072593158578,0.6250242900626016
Total tax and non-tax revenue,2015,600000,0.7859116636805181,0.6250242900626016
Total tax and non-tax revenue,2016,600000,0.7160352417180011,0.6250242900626016
Total tax and non-tax revenue,2017,600000,0.7875319846243776,0.6250242900626016
Total tax and non-tax revenue,2018,600000,0.8424122244896834,0.6250242900626016
Total tax and non-tax revenue,2019,600000,0.8522634137901546,0.6250242900626016
Total tax and non-tax revenue,2020,600000,0.9744728568864013,0.6250242900626016
Total tax and non-tax revenue,2021,600000,1.0,0.6250242900626016
Total tax and non-tax revenue,2004,600000,0.2434229811245086,0.6250242900626016
Total tax and non-tax revenue,2005,600000,0.2652217808978847,0.6250242900626016
Total tax and non-tax revenue,2006,600000,0.3605720903555325,0.6250242900626016
Total tax and non-tax revenue,2007,600000,0.38217066900558,0.6250242900626016
Total tax and non-tax revenue,2008,600000,0.4573925549145434,0.6250242900626016
Total tax and non-tax revenue,2009,600000,0.4891784083220779,0.6250242900626016
Total tax and non-tax revenue,2010,600000,0.4734084945961798,0.6250242900626016
Total tax and non-tax revenue,2011,600000,0.49208986548080813,0.6250242900626016
Total tax and non-tax revenue,2012,600000,0.6693110623170743,0.6250242900626016
Total tax and non-tax revenue,2013,600000,0.6979693357649231,0.6250242900626016
Total tax and non-tax revenue,2014,600000,0.761072593158578,0.6250242900626016
Total tax and non-tax revenue,2015,600000,0.7859116636805181,0.6250242900626016
Total tax and non-tax revenue,2016,600000,0.7160352417180011,0.6250242900626016
Total tax and non-tax revenue,2017,600000,0.7875319846243776,0.6250242900626016
Total tax and non-tax revenue,2018,600000,0.8424122244896834,0.6250242900626016
Total tax and non-tax revenue,2019,600000,0.8522634137901546,0.6250242900626016
Total tax and non-tax revenue,2020,600000,0.9744728568864013,0.6250242900626016
Total tax and non-tax revenue,2021,600000,1.0,0.6250242900626016
Total tax revenue,2004,600000,0.11566350249951368,0.25911683682628517
Total tax revenue,2005,600000,0.11646608717219664,0.25911683682628517
Total tax revenue,2006,600000,0.12053876683990158,0.25911683682628517
Total tax revenue,2007,600000,0.13517411086869663,0.25911683682628517
